distance,bleu,ter,tri,lcs,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore,AI_trad_is_good
80,0,1,-4,100,0,0,0,0,1,0,0.9612403101,1
91,0.1666666667,0.1666666667,-14,50,0,0,0,0,6,0,0.8856589147,1
56,0,0.25,-10,43.47826087,0,0,0,0,4,0,0.8856589147,1
23,0,1,-4,92.85714286,0,0,0,0,1,0,0.8507751938,0
76,0.2,1,-10,46.66666667,0,0,0,0,5,0,0.8449612403,1
20,0,1,-2,80,0,0,0,0,1,0,0.8449612403,1
80,0,1,-2,33.33333333,0,0,0,0,1,0,0.9612403101,0
75,0.1947001958,0.25,-10,50,0,0,0,0,4,0,0.847015428,0
40,0,1,-2,75,0,0,0,0,1,0,0.8837209302,1
50,0,1,-2,50,0,0,0,0,1,0,0.9031007752,0
68,0,0.5,-6,40.90909091,0,0,0,0,2,0,0.9186046512,0
66,0.08175953791,0.1,-22,66.66666667,1,0,0,0,10,0,0.9450544427,0
78,0,1,-4,80,0,0,0,0,1,0,0.9573643411,1
92,0,1,-4,41.66666667,0,0,0,0,2,0,0.9651162791,0
81,0.02489353418,0.5,-6,90.90909091,0,0,0,0,2,0,0.934149793,1
82,0.07904941842,0.25,-10,70.58823529,0,0,0,0,4,0,0.9054072022,1
80,0.08208499862,0.25,-10,77.77777778,0,0,0,0,4,0,0.9003546517,1
78,0.07162619922,-1,-1,63.44086022,0,0,0,0,16,0,0.8932650391,0
75,0,1,-2,57.14285714,0,0,0,0,1,0,0.9515503876,0
80,0,1,-4,33.33333333,0,0,0,0,1,0,0.9612403101,0
92,0,1,-4,25,0,0,0,0,1,0,0.984496124,0
90,0,1,-4,42.85714286,0,0,0,0,1,0,0.980620155,0
66,0,1,-4,50,0,0,0,0,1,0,0.9341085271,0
74,0,0.1428571429,-16,54.23728814,0,0,0,0,7,0,0.9163898117,0
83,0,0.1428571429,-16,68.75,0,0,0,0,7,0,0.9338316722,0
90,0,1,-2,14.28571429,0,0,0,0,1,0,0.980620155,0
100,0,1,-2,0,0,0,0,0,1,0,1,1
86,0,1,-4,75,0,0,0,0,1,0,0.9728682171,0
90,0,1,-2,10,0,0,0,0,1,0,0.980620155,0
85,0,1,-2,22.22222222,0,0,0,0,1,0,0.9709302326,0
68,0.1471517765,0.1333333333,-16,61.06870229,0,0,0,0,15,0,0.8447732133,0
79,0.05263157895,-1,-1,39.33649289,0,0,0,0,38,0,0.9011627907,0
71,0.1839397206,0.5,-6,60,0,0,0,0,2,0,0.8531241393,0
69,0,0.5,-6,50,0,0,0,0,2,0,0.9205426357,0
83,0,1,-2,33.33333333,0,0,0,0,1,0,0.9670542636,1
36,0,1,-4,68.18181818,0,0,0,0,2,0,0.8565891473,0
80,0,1,-8,40,0,0,0,0,4,0,0.9321705426,0
80,0.2,1,-10,50,0,0,0,0,5,0,0.8527131783,0
80,0,1,-2,30,0,0,0,0,1,0,0.9612403101,0
78,0.2,0.2,-12,46.875,0,0,0,0,5,0,0.8488372093,0
85,0,0.3333333333,-8,20,0,0,0,0,3,0,0.9450904393,1
78,0.214707798,0.1428571429,-16,42.85714286,0,0,0,0,7,0,0.840921673,0
50,0,0.1666666667,-14,50,0,0,0,0,6,0,0.8708010336,0
73,0.04456414693,0.1,-22,83.33333333,1,0,0,0,10,0,0.9730371524,0
70,0,0.25,-10,45,0,0,0,0,4,0,0.9127906977,0
66,0.1432523984,0.25,-6,80.95238095,0,0,0,0,4,0,0.8495145743,0
66,0,1,-4,57.14285714,0,0,0,0,1,0,0.9341085271,0
75,0.1750346638,0.06666666667,-32,50,0,0,0,0,15,0,0.8475317841,0
56,0.1353352832,0.5,-6,95.65217391,0,0,0,0,2,0,0.8428933011,1
65,0.1839397206,0.5,-4,71.42857143,0,0,0,0,2,0,0.8414962323,0
69,0,0.125,-18,37.20930233,0,0,0,0,8,0,0.9060077519,1
77,0,0.1428571429,-16,47.45762712,0,0,0,0,7,0,0.9222037652,0
69,0.08175953791,0.1,-22,63.7254902,1,0,0,0,10,0,0.9508683962,0
77,0.1176309242,0.1111111111,-18,60.71428571,0,0,0,0,9,0,0.8753799174,0
75,0,1,-2,25,0,0,0,0,1,0,0.9515503876,0
87,0,1,-2,25,0,0,0,0,1,0,0.9748062016,1
60,0,1,-4,60,0,0,0,0,1,0,0.9224806202,0
88,0.1839397206,0.5,-6,57.14285714,0,0,0,0,2,0,0.8860698757,0
84,0.1115650801,0.5,-4,43.75,0,0,0,0,2,0,0.906370124,0
70,0,0.5,-6,50,0,0,0,0,2,0,0.9224806202,1
91,0.1115650801,0.5,-4,50,0,0,0,0,2,0,0.9199360155,1
75,0,1,-4,37.5,0,0,0,0,2,0,0.9321705426,1
66,0,1,-4,57.14285714,0,0,0,0,2,0,0.9147286822,1
73,0,0.3333333333,-8,57.14285714,0,0,0,0,3,0,0.9218346253,1
32,0,1,-6,79.16666667,0,0,0,0,3,0,0.842377261,1
81,0.02489353418,0.5,-6,90.90909091,0,0,0,0,2,0,0.934149793,0
82,0.07904941842,0.25,-10,70.58823529,0,0,0,0,4,0,0.9054072022,0
78,0.1652988882,0.2,-12,78.94736842,0,0,0,0,5,0,0.8622872526,0
50,0,1,-4,72.72727273,0,0,0,0,2,0,0.8837209302,1
40,0,1,-2,60,0,0,0,0,1,0,0.8837209302,0
100,0,1,-2,0,0,0,0,0,1,0,1,0
42,0,1,-2,57.14285714,0,0,0,0,1,0,0.8875968992,1
50,0,0.3333333333,-8,66.66666667,0,0,0,0,3,0,0.8772609819,1
42,0.2007230357,0.125,-18,80,1,0,0,0,8,0,0.8534019241,0
62,0,1,-2,57.14285714,0,0,0,0,1,0,0.9263565891,0
75,0,1,-2,33.33333333,0,0,0,0,1,0,0.9515503876,1
60,0,1,-2,80,0,0,0,0,1,0,0.9224806202,0
56,0,1,-4,87.5,0,0,0,0,2,0,0.8953488372,0
85,0,1,-2,14.28571429,0,0,0,0,1,0,0.9709302326,0
30,0,1,-2,69.23076923,0,0,0,0,1,0,0.8643410853,0
88,0,1,-4,16.66666667,0,0,0,0,2,0,0.9573643411,0
40,0,0.3333333333,-8,73.68421053,0,0,0,0,3,0,0.857881137,0
76,0,1,-6,53.84615385,0,0,0,0,3,0,0.9276485788,0
75,0.2,0.2,-10,28.125,0,0,0,0,5,0,0.8430232558,0
51,0,1,-8,61.29032258,0,0,0,0,4,0,0.8759689922,1
100,0,1,-2,33.33333333,0,0,0,0,1,0,1,0
82,0.1180916382,0.25,-10,50,0,0,0,0,4,0,0.8902745588,0
76,0,1,-6,55,0,0,0,0,3,0,0.9276485788,0
56,0,0.25,-10,62.96296296,0,0,0,0,4,0,0.8856589147,0
88,0,0.5,-6,22.22222222,0,0,0,0,2,0,0.9573643411,0
86,0,1,-4,35.71428571,0,0,0,0,2,0,0.9534883721,1
66,0.1711390397,0.3333333333,-6,70,0,0,0,0,3,0,0.8419357727,0
70,0.1839397206,0.5,-4,66.66666667,0,0,0,0,2,0,0.8511861548,0
90,0.25,0.25,-10,25,0,0,0,0,4,0,0.8546511628,1
90,0,0.5,-6,33.33333333,0,0,0,0,2,0,0.9612403101,0
91,0.25,0.75,-6,26.08695652,0,0,0,0,4,0,0.8565891473,0
57,0,1,-6,63.15789474,0,0,0,0,3,0,0.8908268734,0
87,0,1,-4,42.85714286,0,0,0,0,1,0,0.9748062016,0
77,0,1,-4,66.66666667,0,0,0,0,1,0,0.9554263566,0
50,0,1,-2,63.63636364,0,0,0,0,1,0,0.9031007752,1
82,0,0.3333333333,-8,47.05882353,0,0,0,0,3,0,0.9392764858,1
50,0,1,-4,77.77777778,0,0,0,0,1,0,0.9031007752,0
82,0.1115650801,0.5,-6,43.75,0,0,0,0,2,0,0.902494155,0
77,0,0.5,-6,22.22222222,0,0,0,0,2,0,0.9360465116,1
76,0,0.3333333333,-8,23.52941176,0,0,0,0,3,0,0.9276485788,1
84,0.2,0.2,-12,50,0,0,0,0,5,0,0.8604651163,1
87,0.1516326649,0.25,-10,40.625,0,0,0,0,4,0,0.8869640834,1
92,0,0.3333333333,-8,22.22222222,0,0,0,0,3,0,0.9586563307,0
40,0,0.3333333333,-8,60,0,0,0,0,3,0,0.857881137,1
37,0,1,-2,71.42857143,0,0,0,0,1,0,0.8779069767,0
88,0,1,-4,25,0,0,0,0,1,0,0.976744186,0
94,0,1,-6,29.41176471,0,0,0,0,3,0,0.9625322997,0
44,0,0.3333333333,-8,68.18181818,0,0,0,0,3,0,0.8656330749,0
53,0,0.5,-6,72.22222222,0,0,0,0,2,0,0.8895348837,0
30,0,1,-2,70,0,0,0,0,1,0,0.8643410853,0
94,0,0.5,-6,20,0,0,0,0,2,0,0.9689922481,1
87,0,0.5,-6,25,0,0,0,0,2,0,0.9554263566,1
77,0.1428571429,0.1428571429,-16,22.72727273,0,0,0,0,7,0,0.8668327796,1
69,0,0.25,-10,55.55555556,0,0,0,0,4,0,0.9108527132,0
68,0.1111111111,0.1111111111,-18,47.91666667,0,0,0,0,9,0,0.8604651163,0
50,0,1,-4,58.82352941,0,0,0,0,2,0,0.8837209302,0
77,0,0.5,-6,50,0,0,0,0,2,0,0.9360465116,1
89,0.1839397206,0.5,-6,20,0,0,0,0,2,0,0.8880078602,1
52,0,1,-4,61.11111111,0,0,0,0,2,0,0.8875968992,0
82,0.1516326649,0.25,-10,39.13043478,0,0,0,0,4,0,0.8772741609,0
60,0,0.5,-6,40,0,0,0,0,2,0,0.9031007752,0
41,0,0.3333333333,-8,72.72727273,0,0,0,0,3,0,0.8598191214,0
56,0,1,-4,50,0,0,0,0,2,0,0.8953488372,0
88,0,1,-6,22.22222222,0,0,0,0,3,0,0.9509043928,0
83,0,0.1428571429,-16,36.11111111,0,0,0,0,7,0,0.9338316722,0
65,0,0.5,-6,60,0,0,0,0,2,0,0.9127906977,1
78,0.2,0.2,-12,28.57142857,0,0,0,0,5,0,0.8488372093,0
75,0.1398690456,0.1428571429,-16,62.26415094,0,0,0,0,7,0,0.8641149879,1
70,0.1711390397,0.3333333333,-6,50,0,0,0,0,3,0,0.8496877107,1
72,0.1428571429,0.1428571429,-16,31.91489362,0,0,0,0,7,0,0.8571428571,0
38,0,1,-10,63.15789474,0,0,0,0,5,0,0.8488372093,0
61,0,0.5,-6,71.42857143,0,0,0,0,2,0,0.9050387597,1
30,0,1,-2,77.77777778,0,0,0,0,1,0,0.8643410853,1
66,0.1428571429,0.1428571429,-16,43.33333333,0,0,0,0,7,0,0.8455149502,1
35,0,0.5,-6,65,0,0,0,0,2,0,0.8546511628,0
60,0,1,-4,88.88888889,0,0,0,0,1,0,0.9224806202,0
63,0,0.5,-6,56.25,0,0,0,0,2,0,0.9089147287,0
80,0.1839397206,0.5,-4,66.66666667,0,0,0,0,2,0,0.8705659998,0
84,0,0.1666666667,-14,15.38461538,0,0,0,0,6,0,0.9366925065,1
84,0,0.25,-10,38.88888889,0,0,0,0,4,0,0.9399224806,1
31,0,1,-6,73.68421053,0,0,0,0,3,0,0.8404392765,0
78,0,0.2,-12,21.73913043,0,0,0,0,5,0,0.9263565891,1
100,0,1,-4,0,0,0,0,0,1,0,1,0
75,0.09523809524,0.04761904762,-21,28.82882883,0,0,0,0,21,0,0.8777224068,1
81,0,1,-4,44.44444444,0,0,0,0,1,0,0.9631782946,0
73,0,1,-4,53.33333333,0,0,0,0,1,0,0.9476744186,1
58,0,1,-4,71.42857143,0,0,0,0,1,0,0.9186046512,1
45,0,1,-4,75,0,0,0,0,1,0,0.8934108527,0
83,0,1,-2,25,0,0,0,0,1,0,0.9670542636,0
85,0,1,-2,33.33333333,0,0,0,0,1,0,0.9709302326,0
65,0.04978706837,1,-2,100,0,0,0,0,1,0,0.9128732293,0
100,0,1,-2,25,0,0,0,0,1,0,1,0
75,0,1,-4,29.16666667,0,0,0,0,2,0,0.9321705426,1
64,0.1180916382,0.25,-10,70.37037037,0,0,0,0,4,0,0.8553908379,1
64,0.1184798771,0.07142857143,-24,76.74418605,0,0,0,1,14,0,0.8483189845,1
78,0,0.1666666667,-14,39.47368421,0,0,0,0,6,0,0.9250645995,0
80,0.1366742389,0.1428571429,-16,61.76470588,0,0,0,0,7,0,0.8750432075,1
75,0.05555555556,0.1111111111,-20,29.16666667,0,0,0,1,18,0,0.8934108527,1
88,0,0.25,-10,36,0,0,0,0,4,0,0.9476744186,0
52,0,0.1428571429,-16,56.8627451,0,0,1,0,7,0,0.8815060908,1
95,0.25,0.25,-10,35,0,0,0,0,4,0,0.8643410853,0
84,0,0.5,-6,31.57894737,0,0,0,0,2,0,0.9496124031,1
57,0,1,-4,53.84615385,0,0,0,0,2,0,0.8972868217,0
77,0,1,-6,53.84615385,0,0,0,0,3,0,0.9295865633,0
28,0,1,-2,83.33333333,0,0,0,0,1,0,0.8604651163,0
77,0,1,-2,50,0,0,0,0,1,0,0.9554263566,1
88,0,0.3333333333,-8,11.76470588,0,0,0,0,3,0,0.9509043928,1
44,0,0.3333333333,-8,80.55555556,0,0,1,1,3,0,0.8733850129,0
36,0,1,-4,77.77777778,0,0,0,0,2,0,0.8565891473,0
81,0,1,-6,37.5,0,0,0,0,3,0,0.9373385013,0
78,0,1,-2,21.42857143,0,0,0,0,1,0,0.9573643411,0
84,0,1,-4,44.44444444,0,0,0,0,1,0,0.9689922481,0
100,0,1,-4,14.28571429,0,0,0,0,1,0,1,0
100,0,1,-4,40,0,0,0,0,1,0,1,0
100,0,0.5,-6,9.090909091,0,0,0,0,2,0,0.980620155,0
43,0,0.5,-6,71.42857143,0,0,0,0,2,0,0.8701550388,0
61,0,0.5,-6,61.53846154,0,0,0,0,2,0,0.9050387597,0
68,0,0.5,-6,56.25,0,0,0,1,2,0,0.9186046512,0
80,0,1,-2,20,0,0,0,0,1,0,0.9612403101,0
100,0,1,-4,6.666666667,0,0,0,0,2,0,0.980620155,1
91,0,0.5,-6,8.333333333,0,0,0,0,2,0,0.9631782946,0
50,0,1,-2,62.5,0,0,0,0,1,0,0.9031007752,0
88,0,-1,-1,18.18181818,0,0,0,0,3,0,0.9509043928,0
94,0,0.25,-10,12.5,0,0,0,0,4,0,0.9593023256,0
81,0,0.25,-10,30,0,0,0,0,4,0,0.9341085271,0
90,0,1,-2,18.18181818,0,0,0,0,1,0,0.980620155,0
20,0,1,-2,88.88888889,0,0,0,0,1,0,0.8449612403,0
25,0,1,-2,75,0,0,0,0,1,0,0.8546511628,0
28,0,0.5,-6,71.42857143,0,0,1,0,2,0,0.8488372093,0
90,0.1839397206,0.5,-6,53.84615385,0,0,0,0,2,0,0.8899458447,0
83,0,1,-2,20,0,0,0,0,1,0,0.9670542636,1
50,0,1,-4,100,0,0,0,0,1,0,0.9031007752,1
57,0,1,-2,57.14285714,0,0,0,0,1,0,0.9166666667,0
88,0,1,-4,16.66666667,0,0,0,0,1,0,0.976744186,0
87,0,-1,-1,20.83333333,0,0,0,0,5,0,0.9437984496,0
37,0,1,-2,100,0,0,0,0,1,0,0.8779069767,0
79,0,1,-4,45.83333333,0,0,0,0,2,0,0.9399224806,0
89,0.1839397206,0.5,-6,40,0,0,0,0,2,0,0.8880078602,0
82,0.1839397206,0.5,-6,50,0,0,0,0,2,0,0.8744419688,0
92,0.3032653299,0.5,-6,33.33333333,0,0,0,0,2,0,0.8475715776,0
75,0,1,-2,33.33333333,0,0,0,0,1,0,0.9515503876,0
50,0,1,-4,61.53846154,0,0,0,0,2,0,0.8837209302,0
73,0,1,-4,40,0,0,0,0,2,0,0.9282945736,0
81,0.1115650801,0.5,-6,52.94117647,0,0,0,0,2,0,0.9005561705,0
87,0,1,-6,20.83333333,0,0,0,0,3,0,0.9489664083,0
68,0,1,-4,50,0,0,0,0,2,0,0.9186046512,0
25,0,1,-2,75,0,0,0,0,1,0,0.8546511628,1
40,0,1,-4,60,0,0,0,0,2,0,0.8643410853,0
50,0,1,-2,80,0,0,0,0,1,0,0.9031007752,0
66,0.1226264804,0.3333333333,-8,47.05882353,0,0,0,1,3,0,0.8607390903,1
62,0.1111111111,1,-18,60,0,0,0,1,9,0,0.8488372093,0
73,0.2231301601,0.5,-4,80,0,0,0,0,2,0,0.8418100154,0
65,0.1115650801,0.5,-4,100,0,0,0,1,2,0,0.8695484186,0
66,0.1711390397,0.3333333333,-6,63.15789474,0,0,0,0,3,0,0.8419357727,0
69,0.1711390397,0.3333333333,-6,61.11111111,0,0,0,0,3,0,0.8477497262,0
85,0.1839397206,0.5,-6,36.36363636,0,0,0,0,2,0,0.8802559223,0
76,0,1,-2,33.33333333,0,0,0,0,1,0,0.9534883721,0
83,0.1839397206,0.5,-6,60,0,0,0,0,2,0,0.8763799533,0
66,0,1,-2,100,0,0,0,0,1,0,0.9341085271,0
57,0,1,-2,100,0,0,0,0,1,0,0.9166666667,0
47,0,1,-4,60,0,0,0,0,2,0,0.8779069767,1
47,0,1,-4,57.89473684,0,0,0,0,2,0,0.8779069767,1
88,0,0.5,-6,33.33333333,0,0,0,0,2,0,0.9573643411,0
38,0,1,-2,61.11111111,0,0,0,0,1,0,0.8798449612,0
75,0,1,-2,37.5,0,0,0,0,1,0,0.9515503876,0
88,0,1,-2,25,0,0,0,0,1,0,0.976744186,0
88,0,0.5,-6,28.57142857,0,0,0,0,2,0,0.9573643411,1
66,0,1,-4,100,0,0,0,0,1,0,0.9341085271,0
83,0,1,-4,40,0,0,0,0,2,0,0.9476744186,1
65,0.1115650801,0.5,-4,100,0,0,0,0,2,0,0.8695484186,0
35,0,-1,-1,100,0,0,0,0,1,0,0.8740310078,0
83,0,-1,-1,33.33333333,0,0,0,0,1,0,0.9670542636,0
33,0,0.5,-6,83.33333333,0,0,0,0,2,0,0.8507751938,1
60,0,1,-4,100,0,0,0,0,1,0,0.9224806202,0
73,0.06920912606,0.09090909091,-24,48.27586207,0,0,0,1,11,0,0.8856130942,0
87,0,0.5,-6,12.5,0,0,0,0,2,0,0.9554263566,0
80,0,0.5,-6,20,0,0,0,0,2,0,0.9418604651,0
83,0,0.5,-6,38.46153846,0,0,0,0,2,0,0.9476744186,0
100,0,1,-4,10,0,0,0,0,2,0,0.980620155,0
56,0,1,-4,70,0,0,0,0,1,0,0.9147286822,0
81,0,0.3333333333,-8,36.36363636,0,0,0,0,3,0,0.9373385013,0
91,0,0.5,-6,27.27272727,0,0,0,0,2,0,0.9631782946,0
80,0,1,-2,55.55555556,0,0,0,0,1,0,0.9612403101,0
66,0,1,-2,33.33333333,0,0,0,0,1,0,0.9341085271,0
72,0,1,-4,27.27272727,0,0,0,0,1,0,0.9457364341,0
91,0,-1,-1,17.39130435,0,0,0,0,4,0,0.9534883721,0
73,0.1666666667,-1,-1,47.05882353,0,0,0,0,6,0,0.8507751938,0
79,0,-1,-1,44.82758621,0,0,0,0,6,0,0.927002584,0
68,0.07302495868,0.1176470588,-17,54.22535211,0,0,0,1,17,0,0.8732005404,0
81,0,1,-4,33.33333333,0,0,0,0,1,0,0.9631782946,0
53,0,1,-4,46.66666667,0,0,0,0,2,0,0.8895348837,0
36,0,1,-4,85.71428571,0,0,0,0,2,0,0.8565891473,0
85,0,1,-2,20,0,0,0,0,1,0,0.9709302326,0
64,0,1,-4,57.14285714,0,0,0,0,2,0,0.9108527132,0
76,0,1,-2,42.85714286,0,0,0,0,1,0,0.9534883721,0
25,0,1,-4,100,0,0,0,0,1,0,0.8546511628,0
83,0,1,-2,40,0,0,0,0,1,0,0.9670542636,0
46,0,1,-2,53.84615385,0,0,0,0,1,0,0.8953488372,0
76,0,0.5,-6,46.15384615,0,0,0,0,2,0,0.9341085271,0
33,0,1,-2,85.71428571,0,0,0,0,1,0,0.8701550388,0
60,0,1,-2,40,0,0,0,0,1,0,0.9224806202,0
43,0,1,-4,90,0,0,0,0,1,0,0.8895348837,0
80,0.2388437702,0.3333333333,-8,40,0,0,0,0,3,0,0.8428254121,0
75,0,1,-2,50,0,0,0,0,1,0,0.9515503876,0
45,0,1,-2,70,0,0,0,0,1,0,0.8934108527,0
81,0,1,-2,27.27272727,0,0,0,0,1,0,0.9631782946,0
50,0,1,-2,75,0,0,0,0,1,0,0.9031007752,0
62,0,1,-2,50,0,0,0,0,1,0,0.9263565891,0
100,0,1,-2,11.11111111,0,0,0,0,1,0,1,0
90,0,1,-4,16.66666667,0,0,0,0,1,0,0.980620155,0
86,0,1,-4,42.85714286,0,0,0,0,1,0,0.9728682171,1
100,0,1,-2,14.28571429,0,0,0,0,1,0,1,0
80,0,1,-4,60,0,0,0,0,2,0,0.9418604651,1
70,0,1,-2,60,0,0,0,0,1,0,0.9418604651,0
18,0,1,-2,81.81818182,0,0,0,0,1,0,0.8410852713,0
100,0,1,-2,10,0,0,0,0,1,0,1,0
50,0,1,-2,76.92307692,0,0,1,0,1,0,0.9108527132,0
56,0,1,-4,53.84615385,0,0,1,0,1,0,0.9224806202,0
54,0,1,-4,60.86956522,0,0,1,0,2,0,0.8992248062,0
60,0,0.3333333333,-8,46.66666667,0,0,1,0,3,0,0.9043927649,0
55,0,0.5,-6,71.42857143,0,0,1,0,2,0,0.9011627907,0
43,0,0.5,-6,56.25,0,0,1,0,2,0,0.8779069767,0
45,0,1,-6,68,0,0,1,0,3,0,0.8753229974,0
56,0,1,-6,59.09090909,0,0,1,0,3,0,0.8966408269,0
53,0,1,-4,92.30769231,0,0,1,0,1,0,0.9166666667,0
55,0,1,-18,57.37704918,0,0,0,0,9,0,0.87833764,0
54,0,0.3333333333,-8,58.33333333,0,0,1,0,3,0,0.8927648579,0
71,0.1150162251,0.125,-6,85.71428571,0,0,0,0,8,0,0.8653037887,0
90,0,1,-4,14.28571429,0,0,0,0,1,0,0.980620155,0
67,0.107353899,0.1428571429,-16,50,0,0,0,1,7,0,0.8612138819,0
65,0,-1,-1,55,0,0,1,0,3,0,0.9140826873,0
83,0,1,-2,33.33333333,0,0,0,0,1,0,0.9670542636,0
50,0,1,-4,60,0,0,1,0,2,0,0.8914728682,0
38,0,1,-6,66.66666667,0,0,1,0,3,0,0.8617571059,0
68,0,1,-4,36.84210526,0,0,0,0,2,0,0.9186046512,0
100,0,1,-4,8.333333333,0,0,0,0,2,0,0.980620155,0
60,0.1115650801,-1,-1,75,0,0,0,0,2,0,0.8598584961,0
81,0,0.5,-6,52.17391304,0,0,0,0,2,0,0.9437984496,0
80,0.01302204318,-1,-1,60.2739726,0,0,0,0,22,0,0.9191951207,1
93,0,0.04,-52,6.666666667,0,0,0,0,25,0,0.9492248062,1
84,0,0.5,-6,28.57142857,0,0,0,0,2,0,0.9496124031,0
78,0,0.25,-10,21.62162162,0,0,0,0,4,1,0.9282945736,0
100,0,0.3333333333,-8,0,0,0,0,0,3,0,0.9741602067,0
89,0,0.5,-6,26.31578947,0,0,0,0,2,0,0.9593023256,0
43,0,1,-2,80.95238095,0,0,0,0,1,1,0.8895348837,0
38,0,1,-2,82.35294118,0,0,0,0,1,1,0.8798449612,0
58,0,0.3333333333,-8,57.14285714,0,0,0,0,3,0,0.8927648579,0
28,0,0.5,-6,83.33333333,0,0,0,0,2,0,0.8410852713,0
66,0,0.3333333333,-8,50,0,0,0,0,3,0,0.9082687339,0
70,0,0.5,-6,50,0,0,0,0,2,0,0.9224806202,0
88,0,0.5,-6,28.57142857,0,0,0,0,2,0,0.9573643411,0
85,0,1,-2,40,0,0,0,0,1,0,0.9709302326,0
95,0.1839397206,0.5,-6,37.5,0,0,0,0,2,0,0.8996357672,1
95,0.1839397206,0.5,-6,41.66666667,0,0,0,0,2,0,0.8996357672,0
71,0,1,-2,33.33333333,0,0,0,0,1,0,0.9437984496,1
84,0,1,-2,23.07692308,0,0,0,0,1,0,0.9689922481,0
100,0.3032653299,0.5,-6,37.5,0,0,0,0,2,0,0.8630754535,1
53,0,1,-4,46.15384615,0,0,0,0,2,0,0.8895348837,0
91,0,1,-2,16.66666667,0,0,0,0,1,0,0.9825581395,0
62,0,1,-4,66.66666667,0,0,0,0,2,0,0.9069767442,0
85,0.25,0.25,-10,25,0,0,0,0,4,0,0.8449612403,0
61,0,0.5,-6,50,0,0,0,0,2,0,0.9050387597,0
33,0,1,-4,66.66666667,0,0,0,0,2,0,0.8507751938,0
69,0,1,-2,38.46153846,0,0,0,0,1,0,0.9399224806,0
50,0,-1,-1,80,0,0,0,0,2,0,0.8837209302,0
100,0,1,-4,28.57142857,0,0,0,0,1,0,1,0
66,0,1,-2,50,0,0,0,0,1,0,0.9341085271,0
40,0,1,-4,100,0,0,0,0,1,0,0.8837209302,0
62,0,1,-2,37.5,0,0,0,0,1,0,0.9263565891,0
63,0,0.5,-6,36.84210526,0,0,0,0,2,0,0.9089147287,0
58,0,0.5,-6,41.17647059,0,0,0,0,2,0,0.8992248062,0
20,0,1,-4,88.88888889,0,0,0,0,1,0,0.8449612403,0
65,0.0243902439,0.3170731707,-28.66666667,52.50965251,0,0,0,0,41,0,0.8849026281,1
89,0,0.5,-6,21.05263158,0,0,0,0,2,0,0.9593023256,0
88,0,1,-4,37.5,0,0,0,0,2,0,0.9573643411,1
52,0,0.3333333333,-8,47.82608696,0,0,1,0,3,0,0.8888888889,1
55,0,1,-2,44.44444444,0,0,0,0,1,0,0.9127906977,1
77,0,0.2,-12,22.72727273,0,0,0,0,5,0,0.9244186047,0
57,0,0.5,-6,42.85714286,0,0,0,0,2,0,0.8972868217,0
83,0,0.5,-6,42.85714286,0,0,0,0,2,0,0.9476744186,0
82,0.1839397206,0.5,-6,53.84615385,0,0,0,0,2,0,0.8744419688,0
75,0.04978706837,1,-4,100,0,0,0,0,1,0,0.9322530743,0
90,0.04978706837,1,-2,100,0,0,0,0,1,0,0.9613228417,0
92,0,0.5,-6,11.11111111,0,0,0,0,2,0,0.9651162791,0
2,0.8571428571,0.1428571429,-2,97.05882353,0,0,0,0,7,0,0.4446290144,0
0,1,0,0,100,0,1,0,0,1,0,0.03100775194,1
0,1,0,0,100,0,1,0,0,3,0,0.005167958656,1
5,0.7165313106,0.3333333333,-2,100,0,1,0,0,3,0,0.1247294662,1
0,1,0,0,100,0,1,0,0,3,0,0.005167958656,1
0,1,0,0,100,0,1,0,0,2,0,0.01162790698,1
0,1,0,0,100,0,1,0,0,5,0,0,1
0,1,0,0,100,0,1,0,0,2,0,0.01162790698,1
26,0.8,0.2,-2,73.68421053,0,1,0,0,5,0,0.1279069767,1